Components,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14
Andhra Pradesh (Total),"157,768","150,552","117,136","111,034","114,671","105,062","98,985","88,648","90,672","110,719"
States' Own Tax,"78,026","70,979","57,409","57,601","58,031","49,486","44,181","39,907","42,569","64,124"
Share in Union Taxes,"38,177","35,386","24,461","28,242","32,787","29,001","26,264","21,894","15,349","22,132"
Grants in Aid - CSS,"18,037","12,751","14,836","13,562","12,509","15,482","12,467","10,265","8,162","2,770"
Grants in Aid - Others,"18,111","26,419","17,036","8,314","6,947","7,279","10,880","11,662","13,618","6,221"
"Non Tax Rev - Int, Div, Profit",11,26,24,41,51,97,117,142,"4,804","8,707"
Non Tax Rev - Others,"5,406","4,991","3,371","3,274","4,345","3,717","5,076","4,778","6,172","6,766"
Arunachal Pradesh (Total),"23,788","21,232","17,124","14,889","16,196","13,775","11,780","10,553","9,136","5,820"
States' Own Tax,"2,237","1,640","1,431","1,229","1,068",816,709,535,462,435
Share in Union Taxes,"16,689","14,644","10,473","8,988","10,436","9,239","8,388","7,076","1,110","1,046"
Grants in Aid - CSS,"2,848","3,220","2,877","3,193","3,056","2,404",188,148,315,392
Grants in Aid - Others,996,953,"1,506",828,"1,027",950,"1,950","2,403","6,791","3,543"
"Non Tax Rev - Int, Div, Profit",93,47,34,62,88,47,56,39,13,25
Non Tax Rev - Others,925,727,802,589,521,319,488,353,445,380
Assam (Total),"89,742","79,815","64,902","64,495","63,479","54,131","49,220","42,458","38,181","32,213"
States' Own Tax,"24,502","19,533","17,134","16,529","15,925","13,216","12,080","10,107","9,450","8,995"
Share in Union Taxes,"29,694","28,151","18,629","21,721","25,216","22,302","20,189","16,785","12,284","11,575"
Grants in Aid - CSS,"21,557","18,187","13,833","14,390","11,849","11,600",207,15,17,"2,103"
Grants in Aid - Others,"8,227","10,365","12,407","6,316","2,268","2,942","12,391","12,810","14,018","6,835"
"Non Tax Rev - Int, Div, Profit",771,235,718,698,741,531,600,369,330,431
Non Tax Rev - Others,"4,990","3,345","2,182","4,842","7,480","3,541","3,753","2,373","2,083","2,274"
Bihar  (Total),"172,688","158,797","128,168","124,233","131,793","117,447","105,585","96,123","78,418","68,919"
States' Own Tax,"44,018","34,855","30,342","30,158","29,408","23,136","23,742","25,449","20,750","19,961"
Share in Union Taxes,"95,510","91,353","59,861","63,406","73,603","65,083","58,881","48,923","36,963","34,829"
Grants in Aid - CSS,"22,237","17,833","16,610","15,302","16,323","13,312",678,161,822,"2,921"
Grants in Aid - Others,"6,788","10,773","15,154","11,667","8,329","12,408","19,881","19,405","18,324","9,663"
"Non Tax Rev - Int, Div, Profit",644,729,"3,845","1,418","1,386","1,579",944,599,347,272
Non Tax Rev - Others,"3,491","3,255","2,356","2,282","2,745","1,928","1,459","1,587","1,211","1,273"
Chhattisgarh  (Total),"93,877","79,652","63,176","63,869","65,095","59,647","53,685","46,068","37,988","32,050"
States' Own Tax,"33,122","27,084","22,889","22,118","21,427","19,895","18,945","17,075","15,707","14,343"
Share in Union Taxes,"32,358","28,571","20,338","20,206","23,459","20,755","18,809","15,716","8,363","7,880"
Grants in Aid - CSS,"8,713","6,171","6,976","7,808","8,215","9,276",399,866,852,"1,146"
Grants in Aid - Others,"4,436","3,976","5,837","5,803","4,291","3,381","9,863","7,196","8,135","3,581"
"Non Tax Rev - Int, Div, Profit",207,142,92,235,191,185,158,114,173,395
Non Tax Rev - Others,"15,041","13,710","7,045","7,699","7,512","6,155","5,511","5,101","4,757","4,706"
Goa  (Total),"17,284","14,286","10,440","11,298","11,438","11,054","9,565","8,552","7,689","6,450"
States' Own Tax,"7,827","5,805","4,151","4,701","4,871","4,731","4,261","3,975","3,896","3,582"
Share in Union Taxes,"3,665","3,357","2,297","2,480","2,878","2,544","2,299","1,924",901,849
Grants in Aid - CSS,272,119,165,367,252,277,158,127,152,69
Grants in Aid - Others,"1,651","1,218",926,"1,012",563,468,134,95,414,288
"Non Tax Rev - Int, Div, Profit",50,23,84,64,26,29,21,19,19,15
Non Tax Rev - Others,"3,818","3,764","2,819","2,673","2,848","3,004","2,691","2,413","2,307","1,646"
Gujarat (Total),"199,408","166,830","128,156","142,844","136,002","123,291","109,842","97,483","91,978","79,976"
States' Own Tax,"124,810","97,678","70,266","79,008","80,103","71,549","64,443","62,649","61,340","56,372"
Share in Union Taxes,"33,034","31,106","20,219","20,232","23,489","20,782","18,835","15,690","10,296","9,702"
Grants in Aid - CSS,"9,550","9,450","8,167","8,725","8,785","8,942","1,466",602,684,"2,141"
Grants in Aid - Others,"13,581","14,578","19,012","16,775","10,208","6,944","11,752","8,348","10,115","4,742"
"Non Tax Rev - Int, Div, Profit","1,365","1,126",979,"2,420","1,732","1,178","2,690",939,"1,101","1,545"
Non Tax Rev - Others,"17,069","12,892","9,514","15,684","11,685","13,896","10,655","9,254","8,442","5,474"
Haryana (Total),"89,195","78,092","67,561","67,858","65,885","62,695","52,497","47,557","40,799","38,012"
States' Own Tax,"62,961","53,377","41,914","42,825","42,581","41,099","34,026","30,929","27,635","25,567"
Share in Union Taxes,"10,378","9,722","6,438","7,112","8,255","7,298","6,597","5,496","3,548","3,343"
Grants in Aid - CSS,"2,920","3,332","3,135","2,852","2,843","2,327",237,339,440,951
Grants in Aid - Others,"4,193","4,266","9,113","7,670","4,230","2,859","5,441","6,040","4,563","3,176"
"Non Tax Rev - Int, Div, Profit","1,656","2,386","1,725","2,062","2,010","2,235","2,316","1,103",939,"1,097"
Non Tax Rev - Others,"7,087","5,008","5,237","5,338","5,965","6,878","3,880","3,649","3,674","3,878"
Himachal Pradesh (Total),"38,090","37,309","33,438","30,742","30,950","27,367","26,264","23,440","17,843","15,711"
States' Own Tax,"10,595","9,715","8,083","7,624","7,573","7,108","7,039","6,696","5,940","5,121"
Share in Union Taxes,"7,884","7,349","4,754","4,678","5,430","4,801","4,344","3,611","2,644","2,492"
Grants in Aid - CSS,"4,737","5,421","4,221","4,915","4,010","3,590","3,055","1,979","1,615",507
Grants in Aid - Others,"11,997","12,213","14,191","11,024","11,107","9,504","10,109","9,318","5,563","5,807"
"Non Tax Rev - Int, Div, Profit",266,340,552,494,568,596,435,206,272,222
Non Tax Rev - Others,"2,610","2,272","1,637","2,008","2,262","1,768","1,282","1,631","1,810","1,562"
Jharkhand  (Total),"80,245","69,722","56,150","58,417","56,152","52,756","47,054","40,638","31,565","26,137"
States' Own Tax,"25,118","21,290","16,880","16,771","14,752","12,353","13,299","11,479","10,350","9,380"
Share in Union Taxes,"31,404","27,735","19,712","20,593","23,906","21,144","19,142","15,969","9,487","8,939"
Grants in Aid - CSS,"6,872","6,577","6,839","7,339","6,997","7,985",515,651,614,"1,151"
Grants in Aid - Others,"4,022","4,090","5,155","4,964","2,239","3,427","8,746","6,687","6,779","2,914"
"Non Tax Rev - Int, Div, Profit",282,96,96,310,47,169,121,123,143,87
Non Tax Rev - Others,"12,548","9,935","7,468","8,440","8,211","7,678","5,230","5,730","4,192","3,665"
Karnataka  (Total),"229,080","195,762","156,716","175,443","164,979","147,000","133,214","118,817","104,142","89,543"
States' Own Tax,"143,702","120,739","97,053","102,363","96,830","87,130","82,956","75,550","70,180","62,604"
Share in Union Taxes,"34,596","33,284","21,694","30,919","35,895","31,752","28,760","23,983","14,654","13,808"
Grants in Aid - CSS,"11,628","12,659","9,852","12,214","10,393","11,617",440,137,"1,729","2,426"
Grants in Aid - Others,"25,239","17,303","20,224","22,266","15,088","10,024","15,263","13,792","12,890","6,673"
"Non Tax Rev - Int, Div, Profit","1,805","1,665","1,000",949,"1,150","1,257","1,282","1,362",950,749
Non Tax Rev - Others,"12,109","10,112","6,894","6,733","5,623","5,219","4,512","3,993","3,739","3,283"
Kerala  (Total),"132,725","116,640","97,617","90,225","92,854","83,020","75,612","69,033","57,950","49,177"
States' Own Tax,"71,968","58,341","47,661","50,323","50,644","46,460","42,176","38,995","35,233","31,995"
Share in Union Taxes,"18,261","17,820","11,560","16,401","19,038","16,833","15,225","12,691","7,926","7,469"
Grant in aid-CSS,"4,588","3,801","5,142","3,263","3,770","3,213",462,167,437,"1,218"
Grant in aid-Others,"22,790","26,216","25,926","7,973","7,619","5,315","8,049","8,755","7,071","2,920"
"Non Tax Rev - Int, Div, Profit",221,405,357,185,265,271,240,195,176,250
Non Tax Rev - Others,"14,897","10,057","6,970","12,080","11,519","10,929","9,460","8,230","7,107","5,325"
Madhya Pradesh  (Total),"203,986","185,876","146,377","147,643","148,893","134,875","123,307","105,511","88,641","75,749"
States' Own Tax,"72,611","66,237","54,459","55,824","50,882","44,811","44,194","40,214","36,567","33,552"
Share in Union Taxes,"74,543","69,542","46,914","49,518","57,487","50,853","46,064","38,398","24,107","22,715"
Grants in Aid - CSS,"26,291","25,488","21,340","19,548",0,0,531,611,"2,893","2,548"
Grants in Aid - Others,"10,664","9,304","13,762","12,404","28,625","30,150","23,431","17,720","14,699","9,229"
"Non Tax Rev - Int, Div, Profit","4,729","1,782",531,919,"1,228","1,261",813,559,"1,341",697
Non Tax Rev - Others,"15,149","13,522","9,371","9,431","10,671","7,800","8,273","8,010","9,034","7,008"
Maharashtra  (Total),"405,678","333,312","269,468","283,190","278,996","243,654","204,693","185,036","165,415","149,822"
States' Own Tax,"277,486","220,927","164,255","188,948","187,436","167,932","136,616","126,608","115,064","108,598"
Share in Union Taxes,"60,001","54,318","36,504","36,220","42,054","37,219","33,715","28,106","17,630","16,630"
Grants in Aid - CSS,"16,241","11,782","13,721","10,725","13,809","11,895","10,468","9,340","9,772","3,377"
Grants in Aid - Others,"35,174","26,977","39,012","33,000","19,853","9,928","11,184","7,558","10,368","9,864"
"Non Tax Rev - Int, Div, Profit","2,466","2,705","2,687","3,327","4,467","4,665","3,326","3,137","3,380","3,953"
Non Tax Rev - Others,"14,310","16,601","13,288","10,970","11,377","12,015","9,383","10,286","9,201","7,398"
Manipur  (Total),"15,893","14,091","12,983","10,684","10,562","10,358","9,129","8,280","7,998","7,283"
States' Own Tax,"1,868","1,649","1,294","1,201","1,046",791,587,550,517,473
Share in Union Taxes,"6,795","6,010","4,272","4,048","4,699","4,154","3,757","3,142","1,527","1,439"
Grants in Aid - CSS,"4,354","3,459","3,917","2,769","2,143","2,323",184,178,836,653
Grants in Aid - Others,"2,419","2,865","3,351","2,532","2,508","2,916","4,436","4,259","4,935","4,458"
"Non Tax Rev - Int, Div, Profit",25,1,2,6,19,19,20,27,31,33
Non Tax Rev - Others,433,107,146,128,148,155,145,122,153,228
Meghalaya  (Total),"14,820","14,274","10,683","9,414","9,719","9,273","8,939","7,043","6,428","6,267"
States' Own Tax,"2,651","2,300","2,073","1,891","1,793","1,450","1,186","1,057",939,949
Share in Union Taxes,"7,286","6,581","4,552","4,212","4,889","4,323","3,911","3,276","1,382","1,302"
Grants in Aid - CSS,"3,253","2,956","2,554","2,314","2,011","2,146",138,196,293,348
Grants in Aid - Others,"1,173","1,913",981,466,597,988,"3,018","2,285","3,471","3,069"
"Non Tax Rev - Int, Div, Profit",9,25,12,29,58,53,46,39,38,34
Non Tax Rev - Others,447,500,512,501,369,314,639,189,305,564
Mizoram  (Total),"10,282","9,160","7,741","9,658","9,040","8,580","7,398","6,676","5,511","4,765"
States' Own Tax,"1,102",854,648,731,727,546,442,358,267,230
Share in Union Taxes,"4,745","4,223","3,011","3,018","3,503","3,097","2,801","2,348",911,858
Grants in Aid - CSS,"1,600","1,366","1,330","2,104","1,250","1,465",546,520,663,369
Grants in Aid - Others,"1,807","2,095","2,191","3,283","3,110","3,082","3,245","3,152","3,429","3,114"
"Non Tax Rev - Int, Div, Profit",50,42,19,33,58,51,48,31,20,18
Non Tax Rev - Others,978,580,543,490,392,340,317,267,222,176
Nagaland  (Total),"14,099","13,451","11,427","11,423","11,437","11,019","9,442","8,044","7,651","6,498"
States' Own Tax,"1,462","1,301","1,023",958,846,638,511,427,389,333
Share in Union Taxes,"5,400","4,875","3,409","3,267","3,792","3,353","3,033","2,541","1,063","1,001"
Grants in Aid - CSS,"1,992","2,184","2,008","1,823","1,440","2,224","1,661","1,204","1,428",445
Grants in Aid - Others,"4,766","4,787","4,745","5,036","5,104","4,415","3,893","3,616","4,501","4,501"
"Non Tax Rev - Int, Div, Profit",10,6,7,9,13,7,7,10,7,8
Non Tax Rev - Others,469,298,236,331,243,382,339,246,263,209
Odisha  (Total),"150,462","153,059","104,387","101,568","99,546","85,204","74,299","68,941","56,998","48,947"
States' Own Tax,"46,554","40,748","34,258","32,315","30,318","27,914","22,852","22,527","19,828","16,892"
Share in Union Taxes,"42,989","38,145","27,543","30,453","35,354","31,272","28,322","23,574","16,181","15,247"
Grants in Aid - CSS,"11,741","11,820","12,698","13,056","13,025","12,900",0,0,0,"2,149"
Grants in Aid - Others,"6,458","8,090","10,371","11,096","6,573","4,720","15,082","14,129","12,917","6,280"
"Non Tax Rev - Int, Div, Profit","2,241","2,347","2,325","1,808","2,006",667,993,"1,114","1,407","1,694"
Non Tax Rev - Others,"40,479","51,910","17,193","12,839","12,270","7,732","7,050","7,597","6,664","6,685"
Punjab  (Total),"87,616","78,168","69,048","61,575","62,269","53,010","47,985","41,523","39,023","35,104"
States' Own Tax,"42,243","37,327","30,053","29,995","31,574","30,423","27,747","26,690","25,570","24,079"
Share in Union Taxes,"17,164","15,289","10,638","10,346","12,005","10,617","9,600","8,009","4,703","4,431"
Grants in Aid - CSS,"3,729","3,674","2,880","2,795","3,017","3,096",564,237,188,"1,271"
Grants in Aid - Others,"18,247","17,095","21,325","11,785","8,090","4,556","4,212","3,937","5,682","2,130"
"Non Tax Rev - Int, Div, Profit",246,188,146,"2,110","1,460","1,409","1,298",227,195,176
Non Tax Rev - Others,"5,986","4,596","4,006","4,544","6,123","2,909","4,566","2,424","2,684","3,015"
Rajasthan  (Total),"194,988","183,920","134,308","140,114","137,873","127,307","109,026","100,285","91,327","74,470"
States' Own Tax,"87,346","74,808","60,283","59,245","57,380","50,605","44,372","42,713","38,673","33,478"
Share in Union Taxes,"57,231","54,031","35,576","36,049","41,852","37,028","33,556","27,916","19,817","18,673"
Grants in Aid - CSS,"14,554","14,965","12,595","14,966","13,317","16,103",-15,0,0,"2,066"
Grants in Aid - Others,"15,292","21,361","12,200","14,139","6,720","7,837","19,498","18,728","19,608","6,679"
"Non Tax Rev - Int, Div, Profit","2,059","1,716","2,696","3,906","5,847","4,926","2,001","2,080","2,129","2,167"
Non Tax Rev - Others,"18,505","17,039","10,957","11,808","12,756","10,808","9,614","8,848","11,101","11,408"
Sikkim  (Total),"8,104","7,081","5,608","4,841","5,920","5,213","4,610","3,784","4,462","4,326"
States' Own Tax,"1,497","1,254",967,970,893,688,653,567,528,525
Share in Union Taxes,"3,865","3,288","2,302","2,296","2,795","2,635","2,069","1,870",809,763
Grants in Aid - CSS,"1,118",749,879,609,"1,152",959,659,509,578,233
Grants in Aid - Others,647,"1,109",798,273,423,277,778,425,"1,849","2,011"
"Non Tax Rev - Int, Div, Profit",70,51,130,147,130,118,80,85,67,68
Non Tax Rev - Others,906,629,533,546,528,537,371,328,631,727
Tamil Nadu  (Total),"243,749","207,492","174,076","174,526","173,741","146,280","140,231","129,008","122,420","108,036"
States' Own Tax,"150,223","122,866","106,153","107,462","105,534","93,737","85,941","80,476","78,657","73,718"
Share in Union Taxes,"38,731","37,459","24,925","26,392","30,639","27,100","24,538","20,354","16,824","15,853"
Grants in Aid - CSS,"15,270","17,251","12,484","12,464","14,819","10,983","2,035",717,974,"2,315"
Grants in Aid - Others,"22,465","17,800","20,093","15,320","8,549","3,696","17,803","18,543","17,615","6,807"
"Non Tax Rev - Int, Div, Profit","5,048","4,190","3,729","4,548","7,031","5,357","4,504","3,094","2,589","3,423"
Non Tax Rev - Others,"12,013","7,927","6,692","8,340","7,169","5,407","5,410","5,825","5,762","5,921"
Telangana  (Total),"159,350","127,469","100,914","102,544","101,420","88,824","82,818","76,134","51,042",0
States' Own Tax,"106,949","91,271","66,650","67,597","64,674","56,520","48,408","39,975","29,288",0
Share in Union Taxes,"19,668","18,721","12,692","15,988","18,561","16,420","14,877","12,351","8,189",0
Grants in Aid - CSS,"5,387","4,461","5,805","5,729","5,507","6,108","6,664","5,807","4,636",0
Grants in Aid - Others,"7,792","4,158","9,666","5,870","2,670","1,951","3,088","3,587","2,482",0
"Non Tax Rev - Int, Div, Profit",346,72,127,132,153,217,"1,861","2,947","2,900",0
Non Tax Rev - Others,"19,208","8,785","5,974","7,228","9,854","7,609","7,921","11,468","3,547",0
Tripura  (Total),"18,309","17,614","13,292","11,002","12,031","10,068","9,645","9,427","9,240","7,650"
States' Own Tax,"3,000","2,616","2,332","2,102","1,766","1,422","1,422","1,332","1,174","1,074"
Share in Union Taxes,"6,724","6,078","4,218","4,212","4,889","4,322","3,909","3,266","1,730","1,630"
Grants in Aid - CSS,"3,475","3,312","2,331","2,254","1,861","1,988",137,36,235,424
Grants in Aid - Others,"4,707","5,334","4,125","2,162","3,143","1,842","3,959","4,530","5,904","4,275"
"Non Tax Rev - Int, Div, Profit",35,26,25,27,148,292,37,69,47,86
Non Tax Rev - Others,368,248,261,244,224,202,182,194,149,160
Uttar Pradesh  (Total),"417,242","371,011","296,176","366,393","329,978","278,775","256,875","227,076","193,422","168,214"
States' Own Tax,"174,087","147,368","119,897","122,826","120,122","97,393","85,966","81,106","74,172","66,582"
Share in Union Taxes,"169,745","160,358","106,687","117,818","136,766","120,939","109,428","90,974","66,623","62,777"
Grants in Aid - CSS,"35,575","31,227","32,342","25,824","31,250","27,731","22,914","21,638","19,289","7,650"
Grants in Aid - Others,"24,345","20,623","25,404","18,220","11,739","12,918","9,623","10,223","13,402","14,755"
"Non Tax Rev - Int, Div, Profit","1,401","1,462","1,220","1,508","1,888","1,124","1,251",675,"2,311","1,625"
Non Tax Rev - Others,"12,089","9,974","10,626","80,197","28,213","18,671","27,693","22,459","17,624","14,825"
Uttarakhand  (Total),"49,083","43,057","38,204","30,723","31,216","27,105","24,889","21,234","20,247","17,321"
States' Own Tax,"17,103","14,176","11,938","11,513","12,188","10,165","10,897","9,378","8,338","7,355"
Share in Union Taxes,"10,617","9,906","6,569","6,902","8,012","7,085","6,412","5,333","3,792","3,573"
Grants in Aid - CSS,"5,968","5,218","6,166","4,477","4,966","4,391","3,035","2,479","1,879",523
Grants in Aid - Others,"11,028","11,000","9,361","3,832","2,741","3,694","3,199","2,825","5,126","4,552"
"Non Tax Rev - Int, Div, Profit",784,439,139,62,74,108,87,94,108,51
Non Tax Rev - Others,"3,582","2,317","4,032","3,937","3,235","1,661","1,259","1,125","1,002","1,265"
West Bengal  (Total),"195,544","178,159","148,394","142,914","145,975","131,270","117,832","109,732","86,514","72,882"
States' Own Tax,"83,609","71,082","60,287","60,669","60,732","52,721","45,466","42,492","39,412","35,831"
Share in Union Taxes,"71,435","65,541","44,737","48,048","55,776","49,321","44,625","37,164","24,595","23,175"
Grants in Aid - CSS,"9,858","11,077","17,604","16,963","15,686","15,734",0,0,-6,"3,727"
Grants in Aid - Others,"28,446","28,770","20,567","14,021","10,124","10,377","24,791","28,214","20,887","8,127"
"Non Tax Rev - Int, Div, Profit",483,464,"2,826",403,853,"1,432","1,202",347,283,995
Non Tax Rev - Others,"1,714","1,227","2,373","2,810","2,804","1,685","1,748","1,515","1,344","1,028"
Total,"3,513,095","3,105,884","2,483,672","2,563,556","2,518,110","2,228,060","2,004,422","1,797,104","1,562,700","1,342,059"
States' Own Tax,"1,698,675","1,417,820","1,131,782","1,175,497","1,151,127","1,014,736","905,117","839,817","772,894","706,146"
Share in Union Taxes,"948,590","882,838","594,982","643,763","747,465","661,272","598,348","498,380","333,408","314,131"
Grants in Aid - CSS,"274,365","250,511","243,308","232,349","214,257","210,071","69,793","58,927","59,499","45,896"
Grants in Aid - Others,"317,464","315,650","344,438","258,050","194,483","168,845","265,699","250,241","255,156","146,213"
"Non Tax Rev - Int, Div, Profit","27,373","22,735","26,126","27,911","33,687","29,880","26,556","19,745","26,120","28,821"
Non Tax Rev - Others,"246,627","216,331","143,037","225,986","177,092","143,256","138,909","129,996","115,623","100,852"